,age_true,race_true,race_pred,gender_true,gender_pred
340,30,0,0,1,1
341,20,1,0,1,0
342,18,2,2,1,1
343,53,1,1,1,1
344,32,2,2,1,1
345,65,1,1,1,1
346,27,2,2,1,0
347,38,2,2,0,0
348,1,2,2,0,0
349,65,2,2,0,0
350,2,0,0,0,0
351,20,4,4,1,1
352,26,0,3,1,1
353,27,0,0,1,1
354,1,4,1,1,1
355,32,0,0,0,0
356,52,1,0,1,1
357,40,1,1,0,1
358,77,2,0,0,0
359,26,1,1,1,1
360,31,0,0,0,0
361,51,0,0,1,1
362,6,4,4,1,0
363,24,1,1,0,0
364,27,0,0,0,0
365,14,4,0,1,1
366,3,0,0,1,1
367,58,0,0,0,0
368,1,0,0,0,0
369,54,0,0,0,0
370,26,3,0,1,1
371,36,0,0,0,0
372,32,2,2,1,0
373,82,2,0,1,1
374,47,0,0,0,0
375,26,0,0,0,0
376,5,2,2,1,0
377,27,3,3,0,0
378,34,0,0,1,0
379,40,0,0,0,0
380,26,4,0,0,0
381,23,0,2,1,1
382,35,4,3,0,0
383,54,0,3,0,1
384,58,0,0,0,0
385,4,2,3,1,1
386,27,3,3,1,1
387,24,0,0,0,0
388,35,0,0,1,1
389,27,1,0,1,1
390,35,0,0,1,1
391,31,0,0,0,0
392,32,1,1,0,0
393,18,0,0,1,1
394,35,1,1,1,1
395,55,3,0,0,0
396,58,0,0,0,0
397,14,4,0,0,0
398,32,0,3,1,1
399,1,3,3,0,0
400,5,1,1,0,1
401,1,0,0,0,0
402,30,2,2,1,1
403,30,2,2,1,1
404,40,0,0,0,0
405,8,3,0,1,1
406,23,0,2,1,1
407,24,1,1,1,0
408,33,1,1,1,0
409,38,1,1,0,0
410,36,0,0,0,0
411,23,0,0,0,0
412,37,0,0,1,1
413,38,3,3,0,0
414,36,3,3,0,0
415,34,1,1,1,1
416,58,0,0,0,0
417,48,0,0,1,1
418,110,0,0,0,0
419,35,1,1,0,0
420,36,3,3,0,0
421,35,3,2,1,1
422,8,0,0,1,1
423,39,1,1,1,1
424,30,2,2,1,1
425,58,1,1,0,0
426,2,2,0,0,1
427,1,3,1,0,1
428,78,0,0,1,1
429,76,1,1,0,0
430,60,0,0,1,0
431,35,0,0,0,0
432,28,2,2,1,1
433,85,0,0,1,1
434,26,0,0,1,1
435,35,0,0,1,1
436,2,2,2,1,1
437,23,2,2,1,1
438,35,0,0,1,1
439,30,1,1,1,1
440,38,4,0,0,0
441,27,2,2,1,1
442,57,0,0,1,1
443,32,0,0,1,1
444,78,0,1,0,1
445,31,2,2,0,0
446,26,1,0,0,0
447,26,1,1,0,0
448,11,0,0,1,1
449,52,0,0,0,0
450,64,3,0,0,0
451,88,0,0,1,0
452,22,2,2,1,1
453,1,3,2,1,1
454,26,1,1,1,1
455,80,3,0,1,1
456,1,4,2,0,0
457,31,0,0,1,1
458,22,3,3,1,1
459,22,2,2,1,1
460,50,2,2,0,0
461,2,0,0,0,0
462,1,4,0,0,1
463,9,2,2,0,0
464,55,0,0,1,1
465,53,1,1,0,0
466,52,4,0,1,0
467,75,0,0,0,0
468,40,0,0,0,0
469,13,0,0,1,1
470,25,1,1,0,0
471,49,0,0,0,0
472,26,2,2,1,0
473,43,0,0,0,0
474,29,1,1,1,1
475,43,0,0,0,0
476,50,2,2,0,0
477,31,1,1,0,0
478,5,4,2,0,1
479,29,4,1,1,1
480,23,2,2,1,1
481,26,0,0,1,1
482,21,2,2,1,1
483,85,2,2,1,1
484,5,1,1,0,0
485,45,4,4,0,0
486,39,3,1,1,1
487,30,1,1,0,0
488,40,0,3,0,0
489,75,2,1,0,0
490,100,2,0,1,1
491,29,1,1,0,0
492,2,4,0,0,0
493,50,1,1,0,0
494,38,0,0,0,0
495,26,0,0,0,0
496,42,3,3,0,0
497,28,1,1,1,1
498,1,1,1,1,0
499,26,2,3,1,1
500,69,0,0,1,1
501,52,0,0,1,1
502,37,1,1,1,0
503,24,0,0,1,1
504,50,1,1,1,1
505,22,4,1,0,1
506,8,0,0,1,1
507,26,3,2,0,0
508,29,1,1,1,1
509,53,0,0,0,0
510,22,4,0,0,0
511,28,2,2,1,1
512,30,2,0,1,1
513,8,4,3,1,0
514,4,3,3,0,1
515,33,0,0,1,0
516,40,4,0,0,0
517,36,0,0,1,1
518,26,1,1,1,1
519,12,0,0,0,1
520,26,3,2,1,1
521,23,4,0,1,1
522,28,3,3,1,1
523,30,0,0,0,0
524,25,0,0,1,1
525,32,0,0,0,0
526,24,1,1,1,1
527,48,1,1,1,1
528,45,0,0,0,0
529,3,1,4,1,0
530,29,0,0,1,1
531,45,3,0,1,1
532,55,3,3,0,0
533,54,0,0,0,0
534,40,1,1,0,0
535,2,4,4,0,0
536,48,0,0,0,0
537,29,2,2,1,1
538,26,0,0,0,0
539,45,1,1,1,0
540,32,0,0,1,1
541,62,1,1,1,1
542,22,0,0,0,0
543,61,1,1,0,0
544,75,0,0,1,1
545,3,2,2,0,0
546,30,1,1,0,0
547,26,1,1,1,1
548,32,0,0,0,0
549,25,3,0,0,0
550,34,3,3,1,1
551,37,1,1,1,1
552,32,0,0,0,0
553,45,1,1,0,0
554,39,2,2,0,0
555,57,1,1,0,1
556,75,0,0,0,0
557,30,0,0,0,0
558,68,0,0,0,0
559,45,0,0,0,0
560,12,4,0,1,1
561,53,0,0,1,1
562,30,0,0,1,1
563,26,1,1,0,0
564,4,0,0,1,0
565,1,4,0,0,0
566,32,0,0,1,1
567,32,2,0,1,1
568,31,1,1,1,1
569,26,2,0,0,0
570,1,2,2,1,0
571,54,3,0,0,0
572,35,0,0,0,1
573,42,0,0,1,1
574,38,1,0,0,0
575,40,2,2,1,1
576,60,0,0,1,1
577,10,1,3,1,0
578,34,0,0,0,0
579,16,4,0,1,1
580,51,0,0,0,0
581,8,0,0,0,0
582,30,0,0,1,1
583,62,3,3,1,1
584,72,0,0,1,1
585,51,0,0,0,0
586,29,1,1,1,1
587,41,4,0,1,1
588,46,0,0,0,0
589,15,0,0,1,1
590,30,4,0,1,1
591,26,0,0,0,0
592,7,0,0,1,1
593,3,0,0,0,1
594,50,0,0,1,0
595,31,1,1,1,1
596,35,0,0,0,0
597,23,0,0,1,1
598,50,0,0,1,1
599,70,3,0,1,0
600,24,0,0,1,1
601,35,0,0,0,0
602,41,0,4,0,0
603,29,2,2,1,1
604,30,1,1,1,1
605,30,4,0,1,0
606,23,0,0,1,1
607,26,4,2,0,0
608,46,0,0,1,1
609,26,1,1,1,1
610,50,0,0,0,0
611,28,0,0,1,1
612,25,3,3,1,0
613,51,0,0,0,0
614,31,0,0,1,1
615,36,0,0,0,0
616,35,2,2,0,0
617,29,0,0,0,0
618,3,4,2,1,1
619,30,2,2,0,0
620,36,1,2,1,1
621,56,0,0,0,0
622,25,3,0,1,0
623,54,0,0,0,0
624,26,1,1,1,1
625,31,1,1,1,1
626,2,0,0,1,0
627,28,3,3,1,1
628,30,2,2,1,1
629,48,0,0,0,0
630,12,0,0,1,1
631,25,1,2,1,1
632,18,0,0,0,0
633,89,2,2,0,0
634,34,1,1,1,1
635,2,3,3,1,0
636,1,2,2,0,0
637,14,0,2,1,1
638,5,0,0,0,0
639,22,0,2,1,1
640,3,0,0,1,0
641,9,0,0,0,0
642,65,0,0,1,0
643,27,2,2,1,1
644,4,2,2,0,0
645,28,0,0,0,0
646,34,0,0,1,1
647,24,3,3,1,1
648,54,0,0,1,0
649,29,1,0,0,0
650,26,1,1,1,1
651,28,2,2,1,1
652,16,0,0,0,1
653,35,2,2,0,0
654,49,0,0,1,0
655,59,0,0,0,0
656,44,3,3,0,0
657,28,1,1,0,0
658,33,3,3,1,1
659,57,0,0,1,1
660,58,1,1,0,0
661,28,0,0,1,1
662,18,0,3,1,1
663,51,0,0,1,1
664,89,0,0,1,1
665,35,1,1,1,1
666,74,0,0,1,1
667,1,1,3,1,0
668,41,0,0,0,0
669,72,0,0,0,0
670,26,1,1,1,1
671,26,4,3,1,1
672,84,0,0,0,1
673,1,2,2,1,1
674,43,0,3,0,0
675,49,1,1,1,1
676,26,3,3,1,1
677,38,0,0,0,0
678,26,1,1,1,1
679,16,1,1,0,0
680,29,0,3,1,1
681,39,0,0,0,0
682,28,1,1,1,1
683,3,0,0,1,1
684,42,0,0,1,1
685,18,0,0,1,1
686,26,1,0,0,0
687,22,3,3,1,1
688,26,2,2,1,1
689,26,1,1,1,1
690,48,0,0,1,1
691,32,2,2,0,0
692,52,0,0,1,1
693,26,1,1,0,0
694,43,0,0,0,0
695,24,1,1,0,0
696,21,3,4,1,1
697,25,0,0,0,0
698,47,0,0,1,1
699,45,1,1,0,0
700,26,1,0,0,0
701,26,0,1,1,1
702,33,0,0,0,0
703,32,3,3,1,1
704,39,3,1,0,0
705,20,1,1,0,0
706,37,0,0,0,0
707,50,0,0,0,0
708,47,0,0,0,0
709,24,2,3,1,1
710,15,3,3,0,0
711,56,0,0,1,1
712,24,1,1,1,1
713,33,1,1,1,1
714,62,1,1,0,0
715,54,0,0,0,0
716,42,2,3,0,0
717,25,3,0,1,1
718,6,0,2,0,1
719,18,0,0,0,0
720,47,3,3,1,1
721,95,2,0,1,1
722,29,3,3,1,1
723,54,0,0,1,1
724,53,3,3,0,0
725,28,1,1,0,0
726,22,4,0,0,0
727,43,0,0,0,0
728,46,2,1,0,0
729,35,1,1,0,0
730,26,1,1,1,1
731,75,0,0,1,1
732,28,4,1,1,1
733,2,2,2,1,1
734,40,2,2,0,0
735,13,0,0,1,1
736,38,0,0,1,1
737,29,3,3,0,0
738,31,0,0,1,1
739,28,0,0,1,1
740,17,0,0,1,1
741,21,2,2,1,1
742,58,1,1,0,0
743,40,3,3,1,1
744,53,0,0,0,0
745,1,0,2,0,0
746,66,3,0,0,0
747,20,4,1,1,1
748,58,3,0,0,0
749,45,0,0,0,0
750,29,0,0,0,0
751,26,2,2,1,1
752,23,3,3,1,1
753,40,1,1,1,1
754,26,3,3,1,1
755,38,0,0,0,1
756,11,0,0,0,0
757,25,3,3,1,1
758,24,4,3,0,1
759,28,1,1,1,1
760,9,0,0,0,0
761,26,0,0,1,1
762,46,3,3,1,0
763,20,0,3,1,1
764,27,0,1,1,1
765,32,2,0,0,0
766,30,0,0,1,1
767,16,3,3,0,0
768,30,0,0,0,0
769,19,0,2,0,0
770,28,1,1,0,0
771,42,2,2,0,0
772,39,1,1,0,0
773,34,3,2,0,0
774,30,0,0,0,0
775,40,1,1,0,0
776,55,0,0,0,0
777,7,2,2,0,0
778,28,1,2,0,0
779,24,0,0,1,1
780,49,0,0,0,0
781,20,4,2,1,1
782,21,1,0,0,0
783,26,1,1,0,0
784,32,2,0,1,1
785,36,0,1,1,1
786,75,2,2,0,0
787,30,2,0,0,0
788,25,0,0,1,1
789,1,0,0,1,1
790,12,0,0,1,1
791,2,2,2,0,1
792,30,0,0,0,0
793,24,1,3,1,1
794,53,0,0,1,1
795,32,0,0,1,1
796,26,4,1,0,0
797,22,1,1,0,0
798,75,0,0,0,0
799,1,2,2,0,1
800,26,0,0,1,1
801,24,3,3,1,1
802,50,2,2,0,0
803,90,1,1,1,1
804,30,3,3,1,1
805,4,1,1,1,1
806,30,1,1,0,0
807,30,2,2,1,1
808,36,0,0,1,1
809,22,3,3,1,1
810,80,0,0,0,0
811,41,1,0,0,0
812,23,1,1,1,1
813,45,0,0,1,1
814,1,2,2,1,0
815,45,2,2,0,0
816,40,1,1,1,1
817,39,1,1,0,0
818,4,4,0,1,1
819,18,0,0,0,0
820,22,0,0,1,1
821,86,0,0,1,1
822,26,1,1,0,0
823,42,3,3,0,0
824,26,1,2,1,1
825,43,0,0,0,0
826,25,1,1,1,0
827,48,0,0,1,1
828,46,0,0,0,0
829,28,2,0,1,0
830,65,0,0,1,1
831,30,2,2,1,1
832,48,1,1,0,0
833,5,0,2,1,1
834,45,1,1,0,0
835,68,0,0,1,1
836,10,0,0,0,1
837,23,3,3,1,1
838,47,0,0,0,0
839,46,1,1,1,1
840,5,2,4,0,0
841,21,1,1,0,0
842,27,2,2,0,0
843,85,0,0,1,1
844,29,1,1,0,0
845,47,0,0,1,1
846,29,0,0,0,0
847,37,3,0,0,0
848,47,0,0,1,1
849,38,1,1,0,0
850,24,3,3,0,0
851,65,0,0,0,0
852,16,0,0,0,0
853,26,0,0,0,0
854,25,0,0,1,1
855,26,1,1,1,1
856,50,0,2,0,0
857,22,0,3,0,0
858,29,4,1,1,1
859,26,1,1,1,1
860,32,0,0,1,1
861,40,0,0,1,1
862,22,4,4,1,1
863,60,0,0,0,0
864,26,0,0,1,1
865,22,4,4,1,1
866,35,0,0,0,0
867,28,2,2,0,0
868,47,0,0,0,0
869,19,0,0,0,0
870,32,1,1,1,1
871,1,2,0,0,0
872,8,0,0,1,1
873,84,0,0,1,0
874,20,4,0,0,0
875,54,0,0,0,0
876,37,0,0,0,0
877,50,1,3,0,0
878,2,0,0,1,1
879,75,0,0,1,1
880,35,3,3,0,0
881,26,0,2,0,1
882,3,3,3,1,1
883,21,4,4,0,1
884,45,1,1,1,1
885,21,3,3,0,0
886,1,1,2,0,0
887,29,0,0,0,1
888,26,1,1,0,0
889,1,1,2,0,0
890,49,0,0,0,0
891,38,0,0,1,1
892,6,0,0,1,1
893,26,1,1,0,0
894,9,0,0,0,1
895,24,0,0,0,0
896,65,0,0,0,0
897,12,0,3,1,1
898,29,1,1,0,0
899,86,0,0,0,0
900,28,1,0,1,1
901,8,4,0,1,1
902,92,0,0,1,1
903,1,3,0,0,0
904,3,4,3,1,1
905,20,4,0,0,0
906,28,1,1,0,0
907,63,3,0,1,1
908,86,2,0,1,1
909,30,1,1,0,0
910,9,0,0,0,0
911,20,3,0,1,1
912,20,1,1,0,0
913,36,1,1,1,0
914,12,0,0,0,0
915,47,0,0,0,0
916,54,2,2,0,0
917,40,0,0,0,0
918,24,0,0,1,1
919,26,4,3,0,0
920,26,1,1,1,1
921,14,1,3,1,1
922,32,1,1,0,1
923,42,1,1,0,0
924,4,2,2,0,0
925,32,0,3,1,1
926,45,0,0,0,0
927,22,3,3,0,0
928,16,4,2,1,1
929,18,3,3,1,1
930,49,0,0,0,0
931,10,0,0,0,0
932,11,0,0,0,0
933,33,0,0,1,1
934,31,0,0,1,1
935,58,0,0,1,1
936,35,0,0,1,1
937,69,0,0,1,1
938,37,0,0,0,0
939,24,0,0,0,0
940,64,0,0,0,0
941,26,0,3,0,0
942,1,0,0,1,1
943,1,2,2,0,1
944,28,1,1,1,1
945,42,2,2,0,0
946,23,1,1,0,0
947,37,0,0,0,0
948,61,0,0,0,0
949,56,3,3,0,0
950,40,2,2,0,0
951,24,1,1,1,1
952,26,0,0,0,0
953,24,2,2,1,1
954,22,4,2,1,1
955,32,0,0,0,0
956,25,1,1,1,1
957,32,1,1,0,0
958,22,2,2,0,1
959,34,3,3,0,0
960,4,2,0,1,1
961,29,1,1,1,1
962,18,0,0,1,1
963,45,0,0,1,1
964,27,3,3,1,1
965,26,1,1,0,0
966,60,1,1,1,1
967,54,3,3,0,0
968,19,3,3,1,1
969,8,3,3,1,1
970,5,4,2,1,1
971,30,0,4,1,1
972,28,0,0,0,0
973,54,3,0,0,0
974,28,0,0,1,1
975,23,2,2,1,1
976,24,4,0,0,0
977,26,2,2,1,1
978,24,3,0,0,0
979,27,0,0,1,1
980,26,0,0,1,1
981,46,1,0,0,0
982,21,2,0,1,1
983,34,2,1,1,1
984,10,0,0,1,1
985,35,0,0,0,0
986,26,1,1,0,0
987,12,0,0,1,0
988,55,2,2,0,0
989,70,0,0,0,0
990,54,0,0,1,1
991,26,3,0,0,0
992,60,0,0,0,0
993,27,4,1,0,0
994,1,4,2,0,0
995,40,3,2,0,0
996,40,1,1,1,1
997,33,0,0,1,1
998,65,1,1,0,0
999,43,2,0,0,0
1000,8,1,1,1,1
1001,28,0,3,1,1
1002,37,3,3,0,0
1003,51,0,0,0,0
1004,29,1,1,1,1
1005,47,0,0,0,0
1006,60,3,3,0,0
1007,1,2,0,0,0
1008,32,0,0,0,0
1009,26,0,2,0,0
1010,26,3,3,0,0
1011,38,3,2,1,1
1012,55,3,3,0,0
1013,1,2,2,1,0
1014,68,0,0,0,0
1015,24,2,2,0,0
1016,58,3,3,0,0
1017,35,0,0,1,1
1018,56,0,2,1,1
1019,34,0,0,0,0
1020,57,2,2,0,0
1021,59,2,2,1,1
1022,32,0,0,0,0
1023,6,4,3,1,1
1024,26,1,1,1,1
1025,42,0,0,0,0
1026,40,3,3,0,0
1027,21,3,0,1,1
1028,30,1,1,1,1
1029,45,1,1,0,0
1030,55,0,1,0,0
1031,1,2,2,0,0
1032,24,4,0,1,1
1033,26,0,0,1,1
1034,44,3,3,0,0
1035,56,0,0,1,1
1036,58,0,0,0,0
1037,37,1,1,0,0
1038,60,0,0,1,1
1039,2,4,4,1,0
1040,42,0,0,1,1
1041,35,4,4,1,1
1042,52,0,0,0,0
1043,68,1,0,1,1
1044,8,0,0,1,1
1045,38,0,0,0,0
1046,34,0,0,1,1
1047,50,0,0,1,1
1048,3,2,2,0,1
1049,26,1,3,1,1
1050,36,3,0,0,0
1051,27,1,3,0,0
1052,72,2,0,0,1
1053,42,1,1,1,1
1054,88,0,0,0,0
1055,16,4,3,0,0
1056,5,3,1,0,0
1057,20,1,4,1,1
1058,28,0,0,0,0
1059,17,0,0,1,1
1060,27,0,0,1,1
1061,27,4,0,0,0
1062,36,0,0,0,0
1063,26,1,1,1,1
1064,75,2,2,1,1
1065,24,2,2,1,1
1066,60,0,0,0,0
1067,23,4,0,1,1
1068,25,2,2,1,0
1069,22,0,0,1,1
1070,53,0,0,0,0
1071,9,0,0,0,0
1072,50,0,0,0,0
1073,26,1,1,1,1
1074,48,3,0,0,0
1075,38,0,0,0,0
1076,24,3,3,1,1
1077,35,0,0,0,0
1078,27,3,3,0,0
1079,25,1,1,0,0
1080,40,2,2,1,1
1081,61,1,1,0,0
1082,41,0,0,0,0
1083,25,1,1,0,0
1084,41,0,0,1,1
1085,25,0,0,1,1
1086,74,0,0,1,1
1087,44,4,0,0,0
1088,2,3,3,1,0
1089,2,3,3,0,1
1090,30,0,0,1,1
1091,43,1,1,1,1
1092,32,1,3,0,1
1093,47,3,3,0,0
1094,35,1,1,1,1
1095,1,4,3,1,0
1096,45,1,1,0,0
1097,35,3,0,0,0
1098,65,1,1,0,0
1099,58,3,3,0,0
1100,26,1,1,0,0
1101,25,1,0,1,1
1102,65,0,0,0,0
1103,26,1,1,1,1
1104,24,2,2,1,1
1105,6,0,0,1,1
1106,35,0,0,0,0
1107,35,2,2,1,1
1108,35,2,0,0,0
1109,30,4,0,1,1
1110,26,4,3,0,0
1111,54,0,0,0,0
1112,1,2,2,0,1
1113,61,0,0,0,0
1114,24,4,0,1,1
1115,20,2,2,1,1
1116,12,4,2,1,1
1117,18,0,0,0,0
1118,49,3,3,0,0
1119,35,0,0,0,0
1120,58,0,0,0,0
1121,49,1,3,0,0
1122,24,4,3,0,0
1123,38,2,2,1,1
1124,41,1,1,0,0
1125,26,0,0,1,1
1126,45,4,0,0,0
1127,36,0,0,1,1
1128,18,1,1,1,1
1129,18,3,2,1,1
1130,26,1,1,1,1
1131,40,4,0,0,0
1132,8,4,0,1,1
1133,63,1,3,0,0
1134,29,0,0,0,0
1135,26,2,2,1,1
1136,35,2,2,1,1
1137,31,1,1,0,0
1138,75,0,2,0,0
1139,62,1,1,1,1
1140,35,3,3,1,1
1141,16,0,0,1,1
1142,21,3,3,1,1
1143,27,4,4,0,0
1144,32,4,3,0,0
1145,9,0,0,0,0
1146,24,0,2,1,1
1147,26,1,1,1,1
1148,40,0,2,0,0
1149,31,1,1,0,0
